time_s,time_h,Vladimir,Zheleznogorsk,Khabarovsk,Murmansk,Novosibirsk,Vladivostok,Yakutsk,Minsk,Almaty,Urumqi,Delhi,Yangon,Jakarta,Tehran,Johannesburg,Nairobi,Luanda,Havana,Caracas,Buenos_Aires
76200.0,21.1667,10,10,14,6,11,11,9,12,12,10,7,10,8,11,8,6,7,8,7,12
76800.0,21.3333,10,11,12,5,12,12,7,11,12,11,7,7,7,10,7,6,6,7,9,12
77400.0,21.5,10,11,13,5,10,12,8,11,11,11,8,6,6,9,9,8,7,9,7,13
78000.0,21.6667,11,9,11,4,11,11,7,11,13,12,10,4,7,14,9,8,6,8,6,10
78600.0,21.8333,11,10,10,5,11,13,9,9,11,13,10,6,7,13,10,6,7,7,7,10
79200.0,22.0,11,10,13,6,9,12,8,10,11,13,8,9,6,10,9,7,7,7,6,12
79800.0,22.1667,11,11,10,5,10,11,10,11,13,12,8,10,7,9,7,8,8,7,7,12
80400.0,22.3333,10,11,11,7,11,12,9,11,13,12,9,8,7,12,6,7,7,8,6,11
81000.0,22.5,11,10,12,6,12,12,9,11,11,12,8,8,7,12,7,5,5,8,6,9
81600.0,22.6667,11,10,12,5,11,11,8,10,11,12,7,8,9,12,8,4,6,10,7,9
82200.0,22.8333,10,11,13,3,10,11,8,9,12,13,8,8,8,10,9,5,6,9,7,12
82800.0,23.0,10,11,13,4,9,13,8,11,14,11,9,6,6,10,9,6,7,7,6,12
83400.0,23.1667,10,10,11,6,11,14,9,11,14,11,10,6,7,13,9,9,8,9,6,9
84000.0,23.3333,12,10,11,7,11,14,9,10,13,12,8,7,7,14,7,9,8,8,6,9
84600.0,23.5,11,10,13,7,10,13,9,12,12,11,8,7,6,12,8,8,7,6,8,11
85200.0,23.6667,10,10,10,7,12,13,9,12,13,12,9,6,6,10,8,8,6,8,10,11
85800.0,23.8333,10,10,12,6,11,12,9,12,10,12,9,6,6,9,6,9,6,8,7,12
