holdover_h,eph_no_isl_m,eph_with_isl_m,uere_no_isl_m,uere_with_isl_m,cep_no_isl_m,cep_with_isl_m
34.5000,17.3000,0.9800,17.5684,3.2125,53.3817,9.7613
34.6000,17.3500,0.9820,17.6177,3.2131,53.5313,9.7632
34.7000,17.4000,0.9840,17.6669,3.2138,53.6809,9.7650
34.8000,17.4500,0.9860,17.7162,3.2144,53.8306,9.7669
34.9000,17.5000,0.9880,17.7654,3.2150,53.9802,9.7687
35.0000,17.5500,0.9900,17.8147,3.2156,54.1299,9.7706
35.1000,17.6000,0.9920,17.8639,3.2162,54.2796,9.7725
35.2000,17.6500,0.9940,17.9132,3.2168,54.4292,9.7744
35.3000,17.7000,0.9960,17.9625,3.2175,54.5789,9.7762
35.4000,17.7500,0.9980,18.0117,3.2181,54.7286,9.7781
35.5000,17.8000,1.0000,18.0610,3.2187,54.8784,9.7800
35.6000,17.8500,1.0020,18.1103,3.2193,55.0281,9.7819
35.7000,17.9000,1.0040,18.1596,3.2199,55.1779,9.7838
35.8000,17.9500,1.0060,18.2089,3.2206,55.3276,9.7857
35.9000,18.0000,1.0080,18.2581,3.2212,55.4774,9.7876
36.0000,18.0500,1.0100,18.3074,3.2218,55.6272,9.7895
36.1000,18.1000,1.0120,18.3567,3.2224,55.7770,9.7914
36.2000,18.1500,1.0140,18.4060,3.2231,55.9268,9.7933
36.3000,18.2000,1.0160,18.4554,3.2237,56.0766,9.7952
36.4000,18.2500,1.0180,18.5047,3.2243,56.2264,9.7971
36.5000,18.3000,1.0200,18.5540,3.2250,56.3763,9.7991
36.6000,18.3500,1.0220,18.6033,3.2256,56.5261,9.8010
36.7000,18.4000,1.0240,18.6526,3.2262,56.6760,9.8029
36.8000,18.4500,1.0260,18.7019,3.2269,56.8258,9.8048
36.9000,18.5000,1.0280,18.7513,3.2275,56.9757,9.8068
37.0000,18.5500,1.0300,18.8006,3.2281,57.1256,9.8087
37.1000,18.6000,1.0320,18.8499,3.2288,57.2755,9.8106
37.2000,18.6500,1.0340,18.8993,3.2294,57.4254,9.8126
37.3000,18.7000,1.0360,18.9486,3.2301,57.5754,9.8145
37.4000,18.7500,1.0380,18.9980,3.2307,57.7253,9.8165
37.5000,18.8000,1.0400,19.0473,3.2313,57.8752,9.8184
37.6000,18.8500,1.0420,19.0967,3.2320,58.0252,9.8204
37.7000,18.9000,1.0440,19.1460,3.2326,58.1752,9.8224
37.8000,18.9500,1.0460,19.1954,3.2333,58.3252,9.8243
37.9000,19.0000,1.0480,19.2447,3.2339,58.4751,9.8263
38.0000,19.0500,1.0500,19.2941,3.2346,58.6251,9.8283
38.1000,19.1000,1.0520,19.3435,3.2352,58.7751,9.8302
38.2000,19.1500,1.0540,19.3928,3.2359,58.9252,9.8322
38.3000,19.2000,1.0560,19.4422,3.2365,59.0752,9.8342
38.4000,19.2500,1.0580,19.4916,3.2372,59.2252,9.8362
38.5000,19.3000,1.0600,19.5410,3.2378,59.3753,9.8382
38.6000,19.3500,1.0620,19.5904,3.2385,59.5253,9.8402
38.7000,19.4000,1.0640,19.6398,3.2392,59.6754,9.8422
38.8000,19.4500,1.0660,19.6891,3.2398,59.8255,9.8442
38.9000,19.5000,1.0680,19.7385,3.2405,59.9756,9.8462
39.0000,19.5500,1.0700,19.7879,3.2411,60.1257,9.8482
39.1000,19.6000,1.0720,19.8373,3.2418,60.2758,9.8502
39.2000,19.6500,1.0740,19.8867,3.2424,60.4259,9.8522
39.3000,19.7000,1.0760,19.9361,3.2431,60.5760,9.8542
39.4000,19.7500,1.0780,19.9856,3.2438,60.7261,9.8562
39.5000,19.8000,1.0800,20.0350,3.2444,60.8763,9.8582
39.6000,19.8500,1.0820,20.0844,3.2451,61.0264,9.8603
39.7000,19.9000,1.0840,20.1338,3.2458,61.1766,9.8623
39.8000,19.9500,1.0860,20.1832,3.2464,61.3267,9.8643
39.9000,20.0000,1.0880,20.2326,3.2471,61.4769,9.8664
40.0000,20.0500,1.0900,20.2821,3.2478,61.6271,9.8684
40.1000,20.1000,1.0920,20.3315,3.2485,61.7773,9.8704
40.2000,20.1500,1.0940,20.3809,3.2491,61.9275,9.8725
40.3000,20.2000,1.0960,20.4304,3.2498,62.0777,9.8745
40.4000,20.2500,1.0980,20.4798,3.2505,62.2279,9.8766
40.5000,20.3000,1.1000,20.5292,3.2512,62.3781,9.8786
40.6000,20.3500,1.1020,20.5787,3.2518,62.5284,9.8807
40.7000,20.4000,1.1040,20.6281,3.2525,62.6786,9.8827
40.8000,20.4500,1.1060,20.6776,3.2532,62.8288,9.8848
40.9000,20.5000,1.1080,20.7270,3.2539,62.9791,9.8869
41.0000,20.5500,1.1100,20.7765,3.2546,63.1294,9.8890
41.1000,20.6000,1.1120,20.8259,3.2552,63.2796,9.8910
41.2000,20.6500,1.1140,20.8754,3.2559,63.4299,9.8931
41.3000,20.7000,1.1160,20.9249,3.2566,63.5802,9.8952
41.4000,20.7500,1.1180,20.9743,3.2573,63.7305,9.8973
41.5000,20.8000,1.1200,21.0238,3.2580,63.8808,9.8994
41.6000,20.8500,1.1220,21.0733,3.2587,64.0311,9.9014
41.7000,20.9000,1.1240,21.1227,3.2594,64.1814,9.9035
41.8000,20.9500,1.1260,21.1722,3.2600,64.3318,9.9056
41.9000,21.0000,1.1280,21.2217,3.2607,64.4821,9.9077
42.0000,21.0500,1.1300,21.2712,3.2614,64.6324,9.9098
42.1000,21.1000,1.1320,21.3206,3.2621,64.7828,9.9120
42.2000,21.1500,1.1340,21.3701,3.2628,64.9331,9.9141
42.3000,21.2000,1.1360,21.4196,3.2635,65.0835,9.9162
42.4000,21.2500,1.1380,21.4691,3.2642,65.2339,9.9183
42.5000,21.3000,1.1400,21.5186,3.2649,65.3843,9.9204
42.6000,21.3500,1.1420,21.5681,3.2656,65.5346,9.9225
42.7000,21.4000,1.1440,21.6176,3.2663,65.6850,9.9247
42.8000,21.4500,1.1460,21.6671,3.2670,65.8354,9.9268
42.9000,21.5000,1.1480,21.7166,3.2677,65.9858,9.9289
43.0000,21.5500,1.1500,21.7661,3.2684,66.1363,9.9311
43.1000,21.6000,1.1520,21.8156,3.2691,66.2867,9.9332
43.2000,21.6500,1.1540,21.8651,3.2698,66.4371,9.9353
43.3000,21.7000,1.1560,21.9146,3.2705,66.5875,9.9375
43.4000,21.7500,1.1580,21.9641,3.2712,66.7380,9.9396
43.5000,21.8000,1.1600,22.0136,3.2719,66.8884,9.9418
43.6000,21.8500,1.1620,22.0631,3.2727,67.0389,9.9439
43.7000,21.9000,1.1640,22.1127,3.2734,67.1893,9.9461
43.8000,21.9500,1.1660,22.1622,3.2741,67.3398,9.9483
43.9000,22.0000,1.1680,22.2117,3.2748,67.4903,9.9504
44.0000,22.0500,1.1700,22.2612,3.2755,67.6408,9.9526
44.1000,22.1000,1.1720,22.3108,3.2762,67.7912,9.9548
