condition,model,elevation_deg,residual_m
Среднее,SBAS/SDCM,60,0.750
Среднее,SBAS/SDCM,65,0.717
Среднее,SBAS/SDCM,70,0.691
Среднее,SBAS/SDCM,75,0.672
Среднее,SBAS/SDCM,80,0.660
Среднее,SBAS/SDCM,85,0.652
Среднее,SBAS/SDCM,90,0.649
Активное (макс. солн.),Клобухар (L1),5,22.356
Активное (макс. солн.),Клобухар (L1),10,11.221
Активное (макс. солн.),Клобухар (L1),15,7.528
Активное (макс. солн.),Клобухар (L1),20,5.697
Активное (макс. солн.),Клобухар (L1),25,4.610
Активное (макс. солн.),Клобухар (L1),30,3.897
Активное (макс. солн.),Клобухар (L1),35,3.397
Активное (макс. солн.),Клобухар (L1),40,3.031
Активное (макс. солн.),Клобухар (L1),45,2.756
Активное (макс. солн.),Клобухар (L1),50,2.544
Активное (макс. солн.),Клобухар (L1),55,2.379
Активное (макс. солн.),Клобухар (L1),60,2.250
Активное (макс. солн.),Клобухар (L1),65,2.150
Активное (макс. солн.),Клобухар (L1),70,2.074
Активное (макс. солн.),Клобухар (L1),75,2.017
Активное (макс. солн.),Клобухар (L1),80,1.979
Активное (макс. солн.),Клобухар (L1),85,1.956
Активное (макс. солн.),Клобухар (L1),90,1.948
Активное (макс. солн.),NeQuick-G (L1),5,14.904
Активное (макс. солн.),NeQuick-G (L1),10,7.481
Активное (макс. солн.),NeQuick-G (L1),15,5.019
Активное (макс. солн.),NeQuick-G (L1),20,3.798
Активное (макс. солн.),NeQuick-G (L1),25,3.074
Активное (макс. солн.),NeQuick-G (L1),30,2.598
Активное (макс. солн.),NeQuick-G (L1),35,2.265
Активное (макс. солн.),NeQuick-G (L1),40,2.021
Активное (макс. солн.),NeQuick-G (L1),45,1.837
Активное (макс. солн.),NeQuick-G (L1),50,1.696
Активное (макс. солн.),NeQuick-G (L1),55,1.586
Активное (макс. солн.),NeQuick-G (L1),60,1.500
Активное (макс. солн.),NeQuick-G (L1),65,1.433
Активное (макс. солн.),NeQuick-G (L1),70,1.382
Активное (макс. солн.),NeQuick-G (L1),75,1.345
Активное (макс. солн.),NeQuick-G (L1),80,1.319
Активное (макс. солн.),NeQuick-G (L1),85,1.304
Активное (макс. солн.),NeQuick-G (L1),90,1.299
Активное (макс. солн.),L1+L5 ИБ (ионосф. комб.),5,0.776
Активное (макс. солн.),L1+L5 ИБ (ионосф. комб.),10,0.776
Активное (макс. солн.),L1+L5 ИБ (ионосф. комб.),15,0.776
Активное (макс. солн.),L1+L5 ИБ (ионосф. комб.),20,0.776
Активное (макс. солн.),L1+L5 ИБ (ионосф. комб.),25,0.776
Активное (макс. солн.),L1+L5 ИБ (ионосф. комб.),30,0.776
Активное (макс. солн.),L1+L5 ИБ (ионосф. комб.),35,0.776
Активное (макс. солн.),L1+L5 ИБ (ионосф. комб.),40,0.776
Активное (макс. солн.),L1+L5 ИБ (ионосф. комб.),45,0.776
Активное (макс. солн.),L1+L5 ИБ (ионосф. комб.),50,0.776
Активное (макс. солн.),L1+L5 ИБ (ионосф. комб.),55,0.776
Активное (макс. солн.),L1+L5 ИБ (ионосф. комб.),60,0.776
Активное (макс. солн.),L1+L5 ИБ (ионосф. комб.),65,0.776
Активное (макс. солн.),L1+L5 ИБ (ионосф. комб.),70,0.776
Активное (макс. солн.),L1+L5 ИБ (ионосф. комб.),75,0.776
Активное (макс. солн.),L1+L5 ИБ (ионосф. комб.),80,0.776
Активное (макс. солн.),L1+L5 ИБ (ионосф. комб.),85,0.776
Активное (макс. солн.),L1+L5 ИБ (ионосф. комб.),90,0.776
Активное (макс. солн.),SBAS/SDCM,5,7.452
Активное (макс. солн.),SBAS/SDCM,10,3.740
Активное (макс. солн.),SBAS/SDCM,15,2.509
Активное (макс. солн.),SBAS/SDCM,20,1.899
Активное (макс. солн.),SBAS/SDCM,25,1.537
Активное (макс. солн.),SBAS/SDCM,30,1.299
Активное (макс. солн.),SBAS/SDCM,35,1.132
Активное (макс. солн.),SBAS/SDCM,40,1.010
Активное (макс. солн.),SBAS/SDCM,45,0.919
Активное (макс. солн.),SBAS/SDCM,50,0.848
Активное (макс. солн.),SBAS/SDCM,55,0.793
Активное (макс. солн.),SBAS/SDCM,60,0.750
Активное (макс. солн.),SBAS/SDCM,65,0.717
Активное (макс. солн.),SBAS/SDCM,70,0.691
Активное (макс. солн.),SBAS/SDCM,75,0.672
Активное (макс. солн.),SBAS/SDCM,80,0.660
Активное (макс. солн.),SBAS/SDCM,85,0.652
Активное (макс. солн.),SBAS/SDCM,90,0.649
Бури (K>5),Клобухар (L1),5,22.356
Бури (K>5),Клобухар (L1),10,11.221
Бури (K>5),Клобухар (L1),15,7.528
Бури (K>5),Клобухар (L1),20,5.697
Бури (K>5),Клобухар (L1),25,4.610
Бури (K>5),Клобухар (L1),30,3.897
Бури (K>5),Клобухар (L1),35,3.397
Бури (K>5),Клобухар (L1),40,3.031
Бури (K>5),Клобухар (L1),45,2.756
Бури (K>5),Клобухар (L1),50,2.544
Бури (K>5),Клобухар (L1),55,2.379
Бури (K>5),Клобухар (L1),60,2.250
Бури (K>5),Клобухар (L1),65,2.150
Бури (K>5),Клобухар (L1),70,2.074
Бури (K>5),Клобухар (L1),75,2.017
Бури (K>5),Клобухар (L1),80,1.979
Бури (K>5),Клобухар (L1),85,1.956
Бури (K>5),Клобухар (L1),90,1.948
Бури (K>5),NeQuick-G (L1),5,14.904
Бури (K>5),NeQuick-G (L1),10,7.481
Бури (K>5),NeQuick-G (L1),15,5.019
Бури (K>5),NeQuick-G (L1),20,3.798
Бури (K>5),NeQuick-G (L1),25,3.074
Бури (K>5),NeQuick-G (L1),30,2.598
Бури (K>5),NeQuick-G (L1),35,2.265
Бури (K>5),NeQuick-G (L1),40,2.021
Бури (K>5),NeQuick-G (L1),45,1.837
Бури (K>5),NeQuick-G (L1),50,1.696
Бури (K>5),NeQuick-G (L1),55,1.586
Бури (K>5),NeQuick-G (L1),60,1.500
Бури (K>5),NeQuick-G (L1),65,1.433
Бури (K>5),NeQuick-G (L1),70,1.382
Бури (K>5),NeQuick-G (L1),75,1.345
Бури (K>5),NeQuick-G (L1),80,1.319
Бури (K>5),NeQuick-G (L1),85,1.304
Бури (K>5),NeQuick-G (L1),90,1.299
Бури (K>5),L1+L5 ИБ (ионосф. комб.),5,0.776
Бури (K>5),L1+L5 ИБ (ионосф. комб.),10,0.776
Бури (K>5),L1+L5 ИБ (ионосф. комб.),15,0.776
Бури (K>5),L1+L5 ИБ (ионосф. комб.),20,0.776
Бури (K>5),L1+L5 ИБ (ионосф. комб.),25,0.776
Бури (K>5),L1+L5 ИБ (ионосф. комб.),30,0.776
Бури (K>5),L1+L5 ИБ (ионосф. комб.),35,0.776
Бури (K>5),L1+L5 ИБ (ионосф. комб.),40,0.776
Бури (K>5),L1+L5 ИБ (ионосф. комб.),45,0.776
Бури (K>5),L1+L5 ИБ (ионосф. комб.),50,0.776
Бури (K>5),L1+L5 ИБ (ионосф. комб.),55,0.776
Бури (K>5),L1+L5 ИБ (ионосф. комб.),60,0.776
Бури (K>5),L1+L5 ИБ (ионосф. комб.),65,0.776
Бури (K>5),L1+L5 ИБ (ионосф. комб.),70,0.776
Бури (K>5),L1+L5 ИБ (ионосф. комб.),75,0.776
Бури (K>5),L1+L5 ИБ (ионосф. комб.),80,0.776
Бури (K>5),L1+L5 ИБ (ионосф. комб.),85,0.776
Бури (K>5),L1+L5 ИБ (ионосф. комб.),90,0.776
Бури (K>5),SBAS/SDCM,5,7.452
Бури (K>5),SBAS/SDCM,10,3.740
Бури (K>5),SBAS/SDCM,15,2.509
Бури (K>5),SBAS/SDCM,20,1.899
Бури (K>5),SBAS/SDCM,25,1.537
Бури (K>5),SBAS/SDCM,30,1.299
Бури (K>5),SBAS/SDCM,35,1.132
Бури (K>5),SBAS/SDCM,40,1.010
Бури (K>5),SBAS/SDCM,45,0.919
Бури (K>5),SBAS/SDCM,50,0.848
Бури (K>5),SBAS/SDCM,55,0.793
Бури (K>5),SBAS/SDCM,60,0.750
Бури (K>5),SBAS/SDCM,65,0.717
Бури (K>5),SBAS/SDCM,70,0.691
Бури (K>5),SBAS/SDCM,75,0.672
Бури (K>5),SBAS/SDCM,80,0.660
Бури (K>5),SBAS/SDCM,85,0.652
Бури (K>5),SBAS/SDCM,90,0.649
