lat,lon,sdcm_factor,sdcm_zone,uere_autonomous_m,uere_combined_m,uere_sdcm_m,cep_autonomous_m,cep_combined_m,cep_sdcm_m
46.0,20.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,22.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,24.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,26.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,28.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,30.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,32.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,34.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,36.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,38.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,40.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,42.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,44.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,46.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,48.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,50.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,52.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,54.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,56.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,58.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,60.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,62.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,64.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,66.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,68.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,70.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,72.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,74.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,76.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,78.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,80.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,82.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,84.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,86.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,88.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,90.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,92.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
