signal,terminal,elevation_deg,slant_range_km,eirp_dbw,fspl_db,atmo_db,rx_power_dbm,cn0_db_hz,sigma_pr_cm,margin_nav_db,viable
L5,Handheld,60,1155,24.0,155.1,3.0,-108.1,63.4,22.07,33.4,True
L5,Handheld,65,1103,24.0,154.7,3.0,-107.7,63.8,21.09,33.8,True
L5,Handheld,70,1064,24.0,154.4,3.0,-107.4,64.1,20.34,34.1,True
L5,Handheld,75,1035,24.0,154.2,3.0,-107.2,64.4,19.79,34.4,True
L5,Handheld,80,1015,24.0,154.0,3.0,-107.0,64.5,19.41,34.5,True
L5,Handheld,85,1004,24.0,153.9,3.0,-106.9,64.6,19.19,34.6,True
L5,Handheld,90,1000,24.0,153.9,3.0,-106.8,64.7,19.11,34.7,True
L5,Survey,10,5759,24.0,169.1,3.0,-114.6,59.7,33.78,29.7,True
L5,Survey,15,3864,24.0,165.6,3.0,-111.1,63.2,22.66,33.2,True
L5,Survey,20,2924,24.0,163.2,3.0,-108.7,65.6,17.15,35.6,True
L5,Survey,25,2366,24.0,161.3,3.0,-106.8,67.5,13.88,37.5,True
L5,Survey,30,2000,24.0,159.9,3.0,-105.4,68.9,11.73,38.9,True
L5,Survey,35,1743,24.0,158.7,3.0,-104.2,70.1,10.23,40.1,True
L5,Survey,40,1556,24.0,157.7,3.0,-103.2,71.1,9.12,41.1,True
L5,Survey,45,1414,24.0,156.9,3.0,-102.4,71.9,8.29,41.9,True
L5,Survey,50,1305,24.0,156.2,3.0,-101.7,72.6,7.66,42.6,True
L5,Survey,55,1221,24.0,155.6,3.0,-101.1,73.2,7.16,43.2,True
L5,Survey,60,1155,24.0,155.1,3.0,-100.6,73.7,6.77,43.7,True
L5,Survey,65,1103,24.0,154.7,3.0,-100.2,74.1,6.47,44.1,True
L5,Survey,70,1064,24.0,154.4,3.0,-99.9,74.4,6.24,44.4,True
L5,Survey,75,1035,24.0,154.2,3.0,-99.7,74.6,6.07,44.6,True
L5,Survey,80,1015,24.0,154.0,3.0,-99.5,74.8,5.96,44.8,True
L5,Survey,85,1004,24.0,153.9,3.0,-99.4,74.9,5.89,44.9,True
L5,Survey,90,1000,24.0,153.9,3.0,-99.3,74.9,5.87,44.9,True
L5,Maritime,10,5759,24.0,169.1,3.0,-116.1,56.8,47.38,26.8,True
L5,Maritime,15,3864,24.0,165.6,3.0,-112.6,60.3,31.79,30.3,True
L5,Maritime,20,2924,24.0,163.2,3.0,-110.2,62.7,24.06,32.7,True
L5,Maritime,25,2366,24.0,161.3,3.0,-108.3,64.5,19.47,34.5,True
L5,Maritime,30,2000,24.0,159.9,3.0,-106.9,66.0,16.46,36.0,True
L5,Maritime,35,1743,24.0,158.7,3.0,-105.7,67.2,14.35,37.2,True
L5,Maritime,40,1556,24.0,157.7,3.0,-104.7,68.2,12.80,38.2,True
L5,Maritime,45,1414,24.0,156.9,3.0,-103.9,69.0,11.64,39.0,True
L5,Maritime,50,1305,24.0,156.2,3.0,-103.2,69.7,10.74,39.7,True
L5,Maritime,55,1221,24.0,155.6,3.0,-102.6,70.3,10.04,40.3,True
L5,Maritime,60,1155,24.0,155.1,3.0,-102.1,70.8,9.50,40.8,True
L5,Maritime,65,1103,24.0,154.7,3.0,-101.7,71.1,9.08,41.1,True
L5,Maritime,70,1064,24.0,154.4,3.0,-101.4,71.5,8.76,41.5,True
L5,Maritime,75,1035,24.0,154.2,3.0,-101.2,71.7,8.52,41.7,True
L5,Maritime,80,1015,24.0,154.0,3.0,-101.0,71.9,8.36,41.9,True
L5,Maritime,85,1004,24.0,153.9,3.0,-100.9,72.0,8.26,42.0,True
L5,Maritime,90,1000,24.0,153.9,3.0,-100.8,72.0,8.23,42.0,True
L5,Aviation,10,5759,24.0,169.1,3.0,-119.6,54.0,65.39,24.0,True
L5,Aviation,15,3864,24.0,165.6,3.0,-116.1,57.5,43.87,27.5,True
L5,Aviation,20,2924,24.0,163.2,3.0,-113.7,59.9,33.20,29.9,True
L5,Aviation,25,2366,24.0,161.3,3.0,-111.8,61.7,26.87,31.7,True
L5,Aviation,30,2000,24.0,159.9,3.0,-110.4,63.2,22.71,33.2,True
L5,Aviation,35,1743,24.0,158.7,3.0,-109.2,64.4,19.80,34.4,True
L5,Aviation,40,1556,24.0,157.7,3.0,-108.2,65.4,17.67,35.4,True
L5,Aviation,45,1414,24.0,156.9,3.0,-107.4,66.2,16.06,36.2,True
L5,Aviation,50,1305,24.0,156.2,3.0,-106.7,66.9,14.82,36.9,True
L5,Aviation,55,1221,24.0,155.6,3.0,-106.1,67.5,13.86,37.5,True
L5,Aviation,60,1155,24.0,155.1,3.0,-105.6,68.0,13.11,38.0,True
L5,Aviation,65,1103,24.0,154.7,3.0,-105.2,68.3,12.53,38.3,True
L5,Aviation,70,1064,24.0,154.4,3.0,-104.9,68.7,12.08,38.7,True
L5,Aviation,75,1035,24.0,154.2,3.0,-104.7,68.9,11.76,38.9,True
L5,Aviation,80,1015,24.0,154.0,3.0,-104.5,69.1,11.53,39.1,True
L5,Aviation,85,1004,24.0,153.9,3.0,-104.4,69.2,11.40,39.2,True
L5,Aviation,90,1000,24.0,153.9,3.0,-104.3,69.2,11.36,39.2,True
