time_s,time_h,Vladimir,Zheleznogorsk,Khabarovsk,Murmansk,Novosibirsk,Vladivostok,Yakutsk,Minsk,Almaty,Urumqi,Delhi,Yangon,Jakarta,Tehran,Johannesburg,Nairobi,Luanda,Havana,Caracas,Buenos_Aires
15600.0,4.3333,10,11,7,12,9,8,8,8,8,6,4,3,2,7,4,4,4,4,5,5
16200.0,4.5,8,9,8,11,9,5,13,9,6,6,5,5,4,5,4,4,3,5,4,4
16800.0,4.6667,11,11,7,11,9,7,11,9,6,6,6,4,4,4,5,3,4,4,4,5
17400.0,4.8333,10,9,8,12,11,6,11,10,6,6,4,4,4,6,6,3,4,5,6,5
18000.0,5.0,9,9,6,12,9,4,13,8,6,6,5,4,7,3,4,4,3,4,5,5
18600.0,5.1667,10,12,9,12,9,7,8,9,6,6,5,4,4,5,5,4,7,5,4,8
19200.0,5.3333,9,9,6,11,9,6,13,9,6,8,4,5,4,7,6,4,5,6,4,4
19800.0,5.5,9,12,6,12,10,6,12,10,5,4,5,4,5,5,6,4,5,4,4,7
20400.0,5.6667,11,10,9,13,9,6,8,9,8,8,4,4,3,7,4,5,7,5,4,6
21000.0,5.8333,10,9,6,12,11,6,13,9,4,6,6,5,4,5,5,5,3,6,3,6
21600.0,6.0,10,11,8,12,10,6,9,9,7,5,5,5,4,6,4,5,4,3,3,5
22200.0,6.1667,9,9,7,11,9,6,13,11,7,6,5,6,4,7,5,5,4,4,5,4
22800.0,6.3333,9,10,6,13,9,5,12,8,4,6,7,4,4,5,6,4,3,6,4,5
23400.0,6.5,12,12,7,12,9,8,8,8,8,7,3,3,2,5,4,3,4,4,7,6
24000.0,6.6667,9,10,6,11,8,5,12,9,5,7,5,5,5,5,4,4,3,5,5,5
24600.0,6.8333,12,11,7,12,8,8,11,10,6,6,4,3,4,3,5,4,5,5,5,7
25200.0,7.0,10,9,8,11,10,6,11,10,6,7,4,5,4,5,5,3,4,5,6,5
25800.0,7.1667,9,10,5,12,9,6,13,9,6,6,4,4,7,4,4,3,4,4,4,5
26400.0,7.3333,11,11,9,11,9,6,7,9,6,6,4,4,4,5,6,3,6,4,4,6
27000.0,7.5,9,9,6,11,9,6,14,9,6,8,5,5,5,7,6,5,4,5,4,4
27600.0,7.6667,10,11,7,12,10,6,10,10,5,4,5,4,5,5,4,6,4,4,3,6
28200.0,7.8333,10,9,7,13,9,8,10,10,8,8,4,5,2,8,4,6,5,4,4,4
28800.0,8.0,10,9,6,13,12,5,13,8,4,6,6,5,4,5,5,6,3,5,3,4
29400.0,8.1667,10,10,8,12,10,7,8,9,7,6,5,3,4,6,4,5,4,4,4,5
30000.0,8.3333,8,8,8,12,9,6,13,10,6,6,4,6,4,6,4,4,3,4,4,3
30600.0,8.5,10,10,7,11,10,7,12,9,5,6,6,4,4,4,6,3,3,4,4,5
31200.0,8.6667,12,11,8,12,9,7,11,9,6,6,4,3,3,5,5,3,4,4,6,7
31800.0,8.8333,9,9,6,12,10,5,13,8,5,7,6,4,5,4,4,4,3,5,6,5
32400.0,9.0,12,10,8,12,9,8,8,10,6,5,4,3,4,5,6,4,5,4,4,8
33000.0,9.1667,10,8,8,12,10,6,12,9,7,8,5,5,4,5,5,4,4,6,6,5
33600.0,9.3333,9,12,5,11,10,6,13,9,6,5,5,5,6,5,4,3,4,4,4,7
34200.0,9.5,11,10,9,11,8,6,8,8,6,7,4,4,4,6,4,5,6,4,4,6
34800.0,9.6667,9,8,7,11,9,6,14,9,5,6,6,6,4,6,5,5,4,6,3,5
35400.0,9.8333,10,11,8,12,10,6,9,9,6,4,4,5,4,5,4,5,4,5,3,5
36000.0,10.0,11,9,7,12,9,8,12,10,8,7,5,5,3,8,4,5,4,4,4,4
36600.0,10.1667,9,10,6,13,11,5,12,9,4,6,6,5,4,5,4,4,3,6,4,5
37200.0,10.3333,10,11,8,12,9,8,8,8,8,6,4,3,2,7,5,4,4,4,5,5
37800.0,10.5,8,9,8,10,9,5,13,9,6,7,4,5,4,5,4,4,3,5,4,5
38400.0,10.6667,11,11,7,11,9,7,11,9,5,6,6,4,4,4,5,3,4,5,4,5
39000.0,10.8333,10,9,8,12,11,6,11,10,6,6,4,4,4,6,6,3,5,5,6,5
39600.0,11.0,9,9,6,12,9,4,13,8,6,6,4,4,7,3,4,4,3,4,5,5
40200.0,11.1667,10,12,9,12,9,7,8,9,6,6,5,4,4,5,6,4,7,4,4,8
40800.0,11.3333,9,9,6,11,9,6,13,9,7,8,4,5,4,7,6,5,4,6,4,5
41400.0,11.5,9,12,6,12,10,6,13,10,5,5,5,4,5,5,6,4,5,4,4,7
42000.0,11.6667,10,10,8,13,9,7,8,8,8,8,4,5,3,7,4,5,7,5,4,6
42600.0,11.8333,10,9,6,12,11,5,13,9,4,6,7,5,4,5,5,5,3,6,3,4
43200.0,12.0,11,12,8,12,9,6,10,9,7,6,5,5,4,6,4,5,4,3,3,5
43800.0,12.1667,9,9,7,11,9,7,13,11,7,6,5,6,4,6,5,5,4,4,5,3
44400.0,12.3333,9,10,6,13,9,5,12,8,4,6,7,5,4,5,6,3,3,6,4,5
45000.0,12.5,12,12,7,12,9,8,8,7,8,7,3,3,2,5,4,3,4,4,7,6
45600.0,12.6667,9,10,6,12,9,5,12,9,5,7,4,4,5,5,4,4,3,4,5,5
46200.0,12.8333,12,11,6,12,8,8,11,10,6,5,4,3,4,4,5,3,5,4,5,8
46800.0,13.0,10,9,8,11,10,6,11,10,6,8,5,5,4,5,5,3,4,5,5,5
47400.0,13.1667,9,10,5,12,9,6,13,10,6,6,4,4,7,4,4,3,4,4,4,5
48000.0,13.3333,11,11,9,11,9,7,6,9,6,6,4,4,4,6,5,4,6,4,4,6
48600.0,13.5,9,9,6,11,9,5,14,9,5,8,5,5,5,7,6,5,5,5,4,4
49200.0,13.6667,10,11,7,12,10,6,11,10,5,4,5,5,5,5,4,5,4,4,3,5
